Chave, Observações
<Stream><Server>, X
<Mountpoint>, Ponto de montagem principal
<shoutcast-url>, Url com o ponto de montage da live ex.: http://ip:porta/live
<Genre>, X
<Description>, X
<Bitrate>, 320;256;192;128;96;64;48; 32; 24
<Codec>, MP3/AAC
<audio-obj-type>, mpeg4_aac_lc ou mpeg4_he_aac
<Playlist><File>, Caminho da playlist json; com os respectivos caminhos dos audios.
<Logfile>, TRUE ou FALSE 
<Loglevel>, Idica o nível de log desejado; intervalo entre 0 e 3
<User>, Usuário setado na config. do icecast2
<Password>, Senha setada na config. do icecast2
<Crossfade><Fadein>, (float) Tempo do fade incial
<Crossfade><Fadeout>, (float) Tempo do fade final
<Crossfade><Startnext>, (float) Ponto do audio que o fade inicia
